Precifast Pvt Ltd,,,,,,,,,,,
SNO,CUSTOMERS NAME,SECTOR,TRANSOPORT MODE/PAY BASIS,ADDRESS ,EMAIL,PHONE NO,AREA,PIN CODE,STATE,,ZONE
1,ABC Auto Corporation,AUTO SECTOR,VRL(TOPAY),"No. 2/1,1st Floor,Arkempanahalli, Opp. 9th Cross,Wilson Garden,Hosur Road,Banglore,560027",bangaloreabc1@gmail.com,9980961002,BANGALORE,560027,Karnataka,,SOUTH-1
2,Bharat Mining Stores,AUTO SECTOR,VRL(TOPAY),"Shop L-2,Near Syndicate Bank, Katras Road,Dhanabad,Jharkhand,826001",bms_826001@yahoo.com,9431124939/9905446161,DHANABAD,826001,Jharkhand,,EAST
3,Durga Distributors,AUTO SECTOR,VRL(TOPAY),"JP Tower,Kapasiya chowk,NH-31, Begusarai,851117",ramaan_rungta@yahoo.co.in,9471044751/9534299960,BEGUSARAI,851117,Bihar,,EAST
4,Fairdeal Enterprises,AUTO SECTOR,VRL(TOPAY),"9/37, DR Nanjappa Road, Opposite United shopping complex, Coimbatore,Tamil nadu,641018",ritesh_fairdeal@rediffmail.com,9786043223,COIMBATORE,641018,Tamil Nadu,,SOUTH-II
5,Jatin Enterprises,AUTO SECTOR,VRL(TOPAY),"Surya Bihar, link road, Cuttack-753012, Odisha.",nirajautoctk@gmail.com,9338055370,CUTTACK,753012,Odisha,,EAST
6,Maheswari Motors,AUTO SECTOR,VRL(TOPAY),"Kalimati road,Behind R.K. Jain Petrol pump, Sakchi,Jamshedpur,831001",maheshwari.in2012@gmail.com,9304721400,JAMSHEDPUR,831001,Jharkhand,,EAST
7,Megh Motors (Guwahati),AUTO SECTOR,VRL(TOPAY),"House no.1,Shree hari Complex, Near shanthi sabha mandir Kumarpara panchali, Guwahati,781009",meghmotors@gmail.com,9435048436/9508393268,GUWAHATI,781009,Assam,,NOTH EAST
8,SS Trade Link,AUTO SECTOR,VRL(TOPAY),"Plot No. 22,Adarsh Nagar,Opp.Hanuman Mandir, Near Sutar Kirana Centre,Khadgaon Road,WADI, 440023",sssahni03@gmail.com,9271239924,WADI,440023,Maharashtra,,WEST-II
9,HBL Power systems Ltd.(nandigaon),OEM SECTOR,VRL(PAID),"Sy. No.64-67&77-81,nandigaon village,kothur mandl-509223",,8096907074,KOTHUR,509223,Telangana,,SOUTH-1
10,Trimurty's,AUTO SECTOR,TCI,"Byepass Road, Near Gateguda, Jeypore, Koraput, 764001",trimurtyenterprises.com@rediffmail.com,9437846707,KORAPUT,764001,Odisha,,EAST
